"","name","religion","geometry"
"265","Dorfkirche Rahnsdorf","protestant",c(13.6886060296582, 52.4305838878762)
"266","Dorfkirche Altstaaken","protestant",c(13.1402545803634, 52.5308863754899)
"267","Evangelisch-Freikirchliche Gemeinde Berlin-Hasenheide","protestant",c(13.4187935870517, 52.4883084736534)
"268","Danielkirche","protestant",c(13.3086903462768, 52.4942460294123)
"269","Dorfkirche Rudow","protestant",c(13.49760804468, 52.4183510201876)
"270","Dreieinigkeitskirche","protestant",c(13.4733760042831, 52.4315771504941)
"271","Vaterunser-Kirche","protestant",c(13.3213101027979, 52.4789933361224)
"272","Evangelische Kirchengemeinde Jona","protestant",c(13.3016498669215, 52.5004705738255)
"273","Eben-Ezer-Kapelle","protestant",c(13.311914864981, 52.4128540986906)
"274","Bekenntniskirche","protestant",c(13.4520233850606, 52.4893193976876)
"275","Pfarrkirche Altglienicke","protestant",c(13.5389792063739, 52.4218508996754)
"276","Kirche Berlin-Wartenberg","protestant",c(13.516107988973, 52.5679694669963)
"277","Kirche am Hohenzollernplatz","protestant",c(13.3270562966328, 52.4942184164333)
"278","Martin Luther Kapelle","protestant",c(13.5853993968594, 52.4680141695593)
"279","Werner-Sylten Kapelle","protestant",c(13.5661173516758, 52.4424962654139)
"280","Nikolai-Kapelle","protestant",c(13.5908422509365, 52.4312238424541)
"281","Nordend","protestant",c(13.3983162446371, 52.5936769169853)
"282","Ölbergkirche","protestant",c(13.42671419141, 52.4947758302609)
"283","Marthakirche","protestant",c(13.437189327013, 52.4923745075843)
"284","Evangelische Kirche Nikolassee","protestant",c(13.2032049068035, 52.4261676187578)
"285","Kirche Südende","protestant",c(13.357196528759, 52.4475513240324)
"286","Dorfkirche Alt-Buckow","protestant",c(13.4309125102838, 52.4218958172)
"287","Stephanus Kirche","protestant",c(13.2748844154069, 52.4308523893633)
"288","Heilig-Geist-Kapelle","protestant",c(13.4032183399189, 52.5207890772592)
"289","Immanuelkirche","protestant",c(13.4214547382156, 52.5331445840126)
"290","Dietrich-Bonhoeffer-Gemeinde","protestant",c(13.3426720360437, 52.4210883947951)
"291","Osterkirche","protestant",c(13.3546595249383, 52.5415396296972)
"292","Dorfkirche Heinersdorf","protestant",c(13.440752220088, 52.5671608479356)
"293","Christus-Treff Berlin-Treptow","protestant",c(13.4446250784229, 52.491355654583)
"294","Rogate-Kapelle","protestant",c(13.444736664763, 52.4912838197007)
"295","Johannes-Kirche","protestant",c(13.2920390202336, 52.6342068832928)
"296","Zufluchtskirche","protestant",c(13.1787405058436, 52.5506584713681)
"297","Jesuskirche Kaulsdorf","protestant",c(13.5808529603162, 52.5082158008322)
"298","Nikodemus-Kirche","protestant",c(13.4315327944073, 52.4898573031663)
"299","Lindenkirche","protestant",c(13.3100270803506, 52.4747978904695)
"300","Waldkapelle","protestant",c(13.72268871369, 52.4261799909109)
"301","Johanneskirche","protestant",c(13.2194746055922, 52.437663853477)
"302","Laurentiuskirche","protestant",c(13.1712649399273, 52.5172380290974)
"303","Ev. Kirchengemeidezentrum Marienfelde","protestant",c(13.350612708722, 52.4132168465572)
"304","Ev. Felsen-Kirchengemeinde","protestant",c(13.3392979563662, 52.6012425283577)
"305","Dorfkirche Alt-Kladow","protestant",c(13.1449780077078, 52.4528704952634)
"306","Philippuskapelle","protestant",c(13.5180797499707, 52.5365342500287)
"307","St.-Pauls-Kirche","protestant",c(13.3804686834247, 52.5521711229022)
"308","Auferstehungskirche","protestant",c(13.4380294350535, 52.5210295323597)
"309","Berliner Dom","protestant",c(13.4010748912615, 52.5190848701991)
"310","Haus Gotteshilfe","protestant",c(13.4337216932168, 52.4786667054853)
"311","Segenskirche","protestant",c(13.3235294978626, 52.5704162632349)
"312","Dorfkirche Lichtenrade","protestant",c(13.4104836384917, 52.3915646286783)
"313","Heilige-Geist-Kirche","protestant",c(13.346381809837, 52.5306923163058)
"314","Evangelisch-Lutherische Paulus-Gemeinde","protestant",c(13.4382174880967, 52.4658975821085)
"315","Friedhofskapelle Rahnsdorf","protestant",c(13.6965850065184, 52.4380226125029)
"316","Kapelle im Sankt Joseph-Krankenhaus","protestant",c(13.3735718172645, 52.4781315637253)
"317","Golgatha-Kirche","protestant",c(13.3907057890091, 52.5290612419116)
"318","Tabeakirche","protestant",c(13.4718585025468, 52.4662179163662)
"319","Theodor-Fliedner-Heim","protestant",c(13.6053662025751, 52.4842233388849)
"320","Stadtmission Gemeinde Britz","protestant",c(13.4530464875678, 52.4450361096746)
"321","Hephatha-Kirche","protestant",c(13.4462416531513, 52.4417098179954)
"322","St. Bartholomäuskirche","protestant",c(13.4243916749597, 52.5273570333742)
"323","St. Marienkirche","protestant",c(13.4071851361909, 52.52056079725)
"324","Kaiser-Friedrich-Gedächtniskirche","protestant",c(13.3424210824406, 52.5152333596793)
"325","Dorfkirche Alt-Marzahn","protestant",c(13.5617212046133, 52.5429476126044)
"326","Kirchsaal der Evangelischen Kirchengemeinde Mariendorf-Ost","protestant",c(13.4034127909459, 52.4470819833752)
"327","Protestant Faith Fellowship","protestant",c(13.267155970051, 52.4559507228452)
"328","Landeskirchliche Gemeinschaft Westend","protestant",c(13.2822494774335, 52.5179698866315)
"329","Adventgemeinde Spandau","protestant",c(13.2071089, 52.5276476)
"330","Adventgemeinde Lichtenberg","protestant",c(13.4752532059952, 52.5040026729991)
"331","St. George’s Church","protestant",c(13.2586050191517, 52.5123611730484)
"332","Neuapostolische Kirche","protestant",c(13.5879667191894, 52.4631501378083)
"333","Evangelisch Freikirchliche Gemeinde Kreuzberg","protestant",c(13.3936149, 52.4889329)
"334","Freie evangelische Bibel-Baptisten-Gemeinde","protestant",c(13.44285, 52.4759311)
"335","Evangelisch-Freikirchliche Gemeinde K.d.ö.R.","protestant",c(13.3499542, 52.5751911)
"336","Baptisten-Gemeinde","protestant",c(13.4403343, 52.5527163)
"337","Gereja Bethel Indonesia Jemaat Bethany","protestant",c(13.4109071, 52.5117204)
"338","Evangelisch-Freikirchliche Gemeinde","protestant",c(13.405787, 52.4095908)
"339","Bethel-Gemeinde","protestant",c(13.3211132, 52.4278755)
"340","Evangelisch-Freikirchliche Gemeinde ""Zoar""","protestant",c(13.4114087, 52.5445845)
"341","Evangelisch-Freikirchliche Gemeinde Berlin-Spandau","protestant",c(13.2053108, 52.54734)
"342","Evangelisch-Freikirchliche Bethel-Gemeinde","protestant",c(13.2874309, 52.5872326)
"343","Baptistenkirche Wedding","protestant",c(13.3656764038709, 52.5437319158921)
"344","Evangelisch-Freikirchliche-Gemeinde (Baptisten) Berlin-Spandau-Wilhelmstadt","protestant",c(13.1947717598367, 52.5166066805339)
"345","Evangelisch-Freikirchliche Gemeinde Neukölln","protestant",c(13.4478401422867, 52.4757425203027)
"346","Bethania Gemeinde","protestant",c(13.3308946366295, 52.5323689511378)
"347","Evangelisch Freikirchliche Gemeinde - Staaken","protestant",c(13.1518851806313, 52.5386635840518)
"348","Baptistengemeinde Berlin","protestant",c(13.3366238224823, 52.464103814368)
"349","Christus-Kirche","protestant",c(13.2415570676137, 52.542816696)
"350","Evangelisch-Freikirchliche Gemeinde Berlin-Tempelhof","protestant",c(13.3863688571943, 52.4673806087252)
"351","Evangelisch Freikirchliche Gemeinde Berlin Schöneberg","protestant",c(13.3525454740965, 52.483162080778)
"352","Hofkirche Köpenick","protestant",c(13.5775396083821, 52.4548906970245)
"353","Baptistengemeinde Steglitz","protestant",c(13.3154130103371, 52.4561404853398)
"354","Thomas Gemeinde","protestant",c(13.327846, 52.458537)
"355","Kreuzbergprojekt","protestant",c(13.4251285, 52.4899073)
"356","Neue Nazarethkirche","protestant",c(13.3617442929434, 52.5486911144952)
"357","Evangeliums-Christen Gemeinde","protestant",c(13.4715023087112, 52.525297807761)
"358","Evangeliums-Christen-Gemeinde/ Zur alten Schäferei","protestant",c(13.5956205698124, 52.5415418445138)
"359","Charlotte-Rose Haus","protestant",c(13.5872863407408, 52.4677674737791)
"360","Jesus Miracle Harvest Church Intl.","protestant",c(13.3813478217879, 52.5588617177095)
"361","Evangelische Kirchengemeinde Martin Luther","protestant",c(13.3963359, 52.5645585)
"362","Gemeindezentrum ev. Kirchengemeinde Rudow","protestant",c(13.4812755, 52.4085446)
"363","Weidenkirche","protestant",c(13.159289, 52.395433)
"364","Zwölf-Apostel-Kirche","protestant",c(13.3579054691086, 52.500470886912)
"365","Dorfkirche Alt-Reinickendorf","protestant",c(13.3523477687743, 52.5750271085362)
"366","Kirche zur Heimat","protestant",c(13.2612106834721, 52.423246463468)
"367","Dänische Christianskirken","protestant",c(13.3126305785096, 52.4879645622396)
"368","Paul-Schneider-Kirche","protestant",c(13.3571270233313, 52.4297931249297)
"369","Versöhnungskirche","protestant",c(13.5501019537665, 52.5242976658473)
"370","Waldkirche","protestant",c(13.236462512881, 52.6265903275454)
"371","Dorfkirche Blankenburg","protestant",c(13.4538437000783, 52.5930816802366)
"372","Friedhofskapelle Falkenberg","protestant",c(13.5375112500108, 52.5704645000147)
"373","Kirche Neu-Westend","protestant",c(13.2630785130543, 52.5178242449601)
"374","Evangelisch-Lutherische Kirche","protestant",c(13.4155458164934, 52.5068920547238)
"375","Landeskirchliche Gemeinschaft Radeland","protestant",c(13.1939960077002, 52.5558210254978)
"376","Sankt Marien","protestant",c(13.2614022733374, 52.4405067499794)
"377","Svenska kyrkan i Berlin","protestant",c(13.3290271076367, 52.4878650894902)
"378","Aussegnungs-Kapelle","protestant",c(13.5258503914709, 52.4113559652136)
"379","Ernst-Moritz-Arndt-Gemeindeheim","protestant",c(13.5594191924486, 52.4102934101115)
"380","Philipp-Melanchthon Kapelle","protestant",c(13.4856327547416, 52.4350315246684)
"381","Kirche Französisch Buchholz","protestant",c(13.4339869927861, 52.6080223105382)
"382","Ev.-Luth. Augustana-Gemeinde","protestant",c(13.3891213096821, 52.5403118440383)
"383","Michaels-Kirche","protestant",c(13.3669667113862, 52.4599642332087)
"384","Dorfkirche Britz","protestant",c(13.436628611629, 52.4479130878343)
"385","Gedenkkirche Plötzensee","protestant",c(13.3000842761025, 52.5398334515099)
"386","Korneliuskirche","protestant",c(13.3437437727371, 52.5589763278044)
"387","Berliner Mennoniten-Gemeinde","protestant",c(13.322537, 52.432953)
"388","Evangelische Freikirche Berlin Johannisthal","protestant",c(13.4972547749215, 52.4397995985443)
"389","Kirche des Nazareners","protestant",c(13.3160909, 52.4552861)
"390","Salemkirche Berlin-Neukölln","protestant",c(13.437522761857, 52.4654769257417)
"391","Lydia-Gemeinde","protestant",c(13.5018954440446, 52.4032466116337)
"392","Herrnhuter Brüdergemeine","protestant",c(13.4441961891833, 52.4763116791703)
"393","Kirche Jesu Christi der Heiligen der Letzten Tage","protestant",c(13.3403611183006, 52.4393001902192)
"394","Kirche Jesu Christi der Heiligen der letzten Tage","protestant",c(13.5704885106222, 52.5334924138383)
"395","Kirche Jesu Christi der Heiligen der Letzten Tage Gemeinde Dahlem","protestant",c(13.2878069302939, 52.4650574289427)
"396","Jesu Christi der Heiligen der letzten Tage","protestant",c(13.4531717250223, 52.4366511877688)
"397","ChristusKirche Berlin-Mitte","protestant",c(13.3995255, 52.5363614)
"398","Begegnungskirche","protestant",c(13.3440396446027, 52.5664452802695)
"399","Christusgemeinde Berlin","protestant",c(13.486175899805, 52.5356822700034)
"400","Thomaskirche","protestant",c(13.3361125494314, 52.5809285127364)
"401","International Christian Church","protestant",c(13.4404097841363, 52.4498927993789)
"402","Christliches Gemeinde Zentrum","protestant",c(13.3653853075666, 52.4366178552619)
"403","Treffpunkt Gemeinde e.V.","protestant",c(13.4335094653317, 52.6054298922616)
"404","Apostolische Kirche Berlin","protestant",c(13.48324682955, 52.4218980670832)
"405","Kirche am Südstern","protestant",c(13.4063487239542, 52.4892456335834)
"406","Quaker Meeting","protestant",c(13.3899554, 52.520803)
"407","Evangelische Reformierte Bethlehemsgemeinde","protestant",c(13.4419312, 52.4767583)
"408","Franziskanerkloster","catholic",c(13.3945595, 52.5659379)
"409","Gedenktafel Dr. Erich Klausener","catholic",c(13.3548367, 52.4951376)
"410","Gedenktafel Clemens August Kardinal von Galen","catholic",c(13.3544088, 52.4951009)
"411","Sankt Rita","catholic",c(13.3151662167656, 52.5697701574474)
"412","St.-Nikolaus-Kirche","catholic",c(13.3307364679265, 52.5916536982551)
"413","St. Antonius-Kirche","catholic",c(13.4427053460414, 52.5131731606034)
"414","St. Adalbert-Kirche","catholic",c(13.3957335670307, 52.5284899439661)
"415","Kapelle","catholic",c(13.3360432593699, 52.5693602530957)
"416","Mauritiuskirche","catholic",c(13.4778875538335, 52.5117040781277)
"417","Vom Guten Hirten","catholic",c(13.3598431245121, 52.4154575671408)
"418","Katholische Herz-Jesu-Kirche","catholic",c(13.2799918964536, 52.5868731829872)
"419","St. Augustinus-Kirche","catholic",c(13.4067946422112, 52.5501654622907)
"420","Sankt Clemens","catholic",c(13.3854829984819, 52.5032067677461)
"421","St.-Norbert-Kirche","catholic",c(13.3470449147412, 52.4828735992037)
"422","Zu den heiligen Zwölf Aposteln","catholic",c(13.213356909294, 52.4310231558474)
"423","Von der Verklärung des Herrn","catholic",c(13.5524180874268, 52.5428352422484)
"424","St. Ansgar","catholic",c(13.3409500796764, 52.517951758579)
"425","Salvator-Kirche","catholic",c(13.3984443417782, 52.3860807578293)
"426","Sankt Marien-Liebfrauen","catholic",c(13.4409348246315, 52.4983852679361)
"427","St. Michael","catholic",c(13.4150483447419, 52.5045887790942)
"428","Katholische Gemeinde Zum Guten Hirten","catholic",c(13.5163026272699, 52.5066347755935)
"429","St. Sebastian","catholic",c(13.3836500324936, 52.5378979208914)
"430","Friedhofskapelle der St. Hedwig und St. Pius Gemeinde","catholic",c(13.486348404855, 52.54276444883)
"431","Katholische Kirchengemeinde St. Richard","catholic",c(13.451953792075, 52.4729093871526)
"432","St. Petrus","catholic",c(13.3085282717729, 52.4682480151077)
"433","St. Nikolaus","catholic",c(13.4514305914817, 52.5154718294672)
"434","Kirche Heilige Familie","catholic",c(13.4211111047429, 52.5480195317377)
"435","Institutskirche St. Afra","catholic",c(13.3976084308617, 52.5452955964796)
"436","Pfarrkirche St. Clara","catholic",c(13.436101817623, 52.4778072956421)
"437","St. Hedwigs-Kathedrale Berlin","catholic",c(13.3948579034462, 52.5157643702216)
"438","Pfarrkirche St. Hildegard","catholic",c(13.2918846420363, 52.6393853799653)
"439","Mater Dolorosa","catholic",c(13.4276819503013, 52.5304728989563)
"440","Bruder-Klaus-Kirche","catholic",c(13.4478437583338, 52.4400442658478)
"441","Katholische Kirche Maria, Königin des Friedens","catholic",c(13.5565956915797, 52.5265155116641)
"442","St. Annen","catholic",c(13.3131417060446, 52.4485825273744)
"443","St. Alfons","catholic",c(13.3680001313849, 52.4244772109296)
"444","Maria-Hilf-Kirche","catholic",c(13.5401469466827, 52.417270165555)
"445","St. Matthias","catholic",c(13.3545723260037, 52.4953371892371)
"446","St. Joseph","catholic",c(13.4930904466417, 52.4182018543153)
"447","Kirche ""Heilig Kreuz""","catholic",c(13.5057616042721, 52.5519243905582)
"448","Heilige Drei Könige","catholic",c(13.701080629681, 52.4370138085263)
"449","Pfarrkirche Ss. Corpus Christi","catholic",c(13.4493386609426, 52.5279925033805)
"450","St. Pius-Kirche","catholic",c(13.4358501200703, 52.5199278459093)
"451","Marienkapelle","catholic",c(13.2873951835952, 52.6422813837247)
"452","Herz-Jesu-Kirche","catholic",c(13.4095697011118, 52.5306737446549)
"453","St. Wilhelm","catholic",c(13.1954192, 52.5225069)
"454","Katholische Gemeinde St. Lambertus","catholic",c(13.1990851, 52.5618242)
"455","Alt-Katholische Gemeinde Berlin","catholic",c(13.3265871, 52.4788546)
"456","Kirche Mariae Verkündigung","catholic",c(13.2589531, 52.5136549)
"457","Maria Regina Martyrum","catholic",c(13.2984631971777, 52.5403627982269)
"458","Kath. Kirche Christus König","catholic",c(13.5496660920724, 52.4370290495201)
"459","Sankt Anna","catholic",c(13.4815085868618, 52.4650091087656)
"460","St. Marien am Behnitz","catholic",c(13.207906245422, 52.5391449529438)
"461","Maria, Hilfe der Christen","catholic",c(13.1985418310034, 52.5403756926224)
"462","Sankt Canisius","catholic",c(13.2940527637996, 52.5077252460749)
"463","Heilige Familie","catholic",c(13.304474713134, 52.430506969612)
"464","Sankt Ludwig","catholic",c(13.3217960169731, 52.4976008943517)
"465","Rosenkranz-Basilika","catholic",c(13.3241001472084, 52.4588344964675)
"466","Heilig-Kreuz-Kirche","catholic",c(13.3279610379884, 52.4820933565476)
"467","St. Christophorus Kirche","catholic",c(13.4304770049021, 52.4887352972892)
"468","St. Thomas von Aquin","catholic",c(13.3130900150068, 52.5102310095132)
"469","St. Maximilian-Kolbe-Kirche","catholic",c(13.1697788402139, 52.5232485188216)
"470","St. Eduard","catholic",c(13.4357912831575, 52.4656754171646)
"471","Sankt Bonifatius","catholic",c(13.38594214259, 52.4926995907964)
"472","Katholische Kirche St. Marien","catholic",c(13.3197159606854, 52.470199189387)
"473","St. Antonius","catholic",c(13.5159074542918, 52.465132769192)
"474","Sankt Joseph","catholic",c(13.2704596467754, 52.5397533314407)
"475","Sankt Bernhard Kirche","catholic",c(13.2846421751273, 52.5758825502539)
"476","Allerheiligen","catholic",c(13.3009593635355, 52.58444255407)
"477","St. Marien","catholic",c(13.5243102101094, 52.4860479676628)
"478","St. Joseph-Kirche","catholic",c(13.2942391601657, 52.5994071423638)
"479","St. Fidelis Kirche","catholic",c(13.3611803285902, 52.4540350830663)
"480","St. Elisabeth","catholic",c(13.3658319608286, 52.4853996403627)
"481","St. Georg","catholic",c(13.4221842173051, 52.5676507668946)
"482","Sankt Johannes Evangelist Kirche","catholic",c(13.3498593977, 52.4515203856949)
"483","Sankt-Agnes-Kapelle","catholic",c(13.2261350446547, 52.583795931312)
"484","Sankt Johannes Basilika","catholic",c(13.4090488395339, 52.4876093438057)
"485","Kath. Kirchengemeinde Heiligensee","catholic",c(13.2303914631913, 52.6131172170762)
"486","St. Johannes","catholic",c(13.5097087718491, 52.4460240618041)
"487","Katholisches Pfarramt Christkönig","catholic",c(13.3516915244671, 52.61727463153)
"488","Salvatorkirche","catholic",c(13.2936950121289, 52.4798595838484)
"489","Sankt-Bernhard-Kirche","catholic",c(13.2942209057178, 52.4583304512578)
"490","Katholische Kirchengemeinde Heilig Geist","catholic",c(13.2566688133131, 52.513362835369)
"491","Maria-Frieden-Kirche","catholic",c(13.3838834932396, 52.4450629104413)
"492","Sankt Konrad Kirche","catholic",c(13.3434522683102, 52.4684299248981)
"493","St. Markus","catholic",c(13.1635596676183, 52.549014608984)
"494","Sankt Paulus","catholic",c(13.3352141527748, 52.528032258834)
"495","St. Josef","catholic",c(13.4464753307808, 52.5508717354344)
"496","St. Maria Magdalena","catholic",c(13.3946769454315, 52.5847355650105)
"497","St. Judas-Thaddäus-Kirche","catholic",c(13.3759791737452, 52.4797790428207)
"498","Herz Jesu","catholic",c(13.2616540121686, 52.439447470316)
"499","Heilige Dreifaltigkeit","catholic",c(13.4663527660513, 52.5064389445317)
"500","Katholische Kirchengemeinde Sankt Stephanus","catholic",c(13.2428942274366, 52.5421729109824)
"501","Marien-Kapelle","catholic",c(13.3972415689731, 52.5261033969128)
"502","Sankt-Albertus-Magnus-Kirche","catholic",c(13.2993957429097, 52.4972465733296)
"503","St. Otto","catholic",c(13.2624311762352, 52.420051929544)
"504","St. Theresia vom Kinde Jesu Kirche","catholic",c(13.4258003357201, 52.4181505972019)
"505","Katholische Kirche St. Elisabeth","catholic",c(13.2095790057524, 52.5703030988131)
"506","St. Franziskus","catholic",c(13.6276807712681, 52.448165910025)
"507","Maria Gnaden","catholic",c(13.3072205032517, 52.6214269456106)
"508","St. Marien-Kirche","catholic",c(13.3607089965255, 52.574579954471)
"509","Kath. Kirche Maria Himmelfahrt","catholic",c(13.1332505039726, 52.4514765497601)
"510","All Saints","catholic",c(13.2667134968633, 52.45605150298)
"511","St. Aloysius","catholic",c(13.3516140945823, 52.5577734628804)
"512","St. Benedikt","catholic",c(13.3414511850991, 52.439962946638)
"513","Sankt Martin","catholic",c(13.3526455033229, 52.5972485684226)
"514","Sankt Konrad von Parzham","catholic",c(13.5555304072838, 52.5705521703295)
"515","St. Dominicus","catholic",c(13.4627741985901, 52.4242709281622)
"516","Russische Orthodoxe Kirche","catholic",c(13.563041468921, 52.5398337597887)
